2026-04-29 10:02:59 | INFO     | Router | Performing deep analysis on PDF...
2026-04-29 10:02:59 | INFO     | Router | Route identified: PDF (Native Text)
2026-04-29 10:02:59 | INFO     | NativePDF | Starting native extraction for: uploads\5 עמודים.pdf
2026-04-29 10:02:59 | DEBUG    | NativePDF | Processing page 1...
2026-04-29 10:02:59 | DEBUG    | NativePDF | Processing page 2...
2026-04-29 10:02:59 | DEBUG    | NativePDF | Processing page 3...
2026-04-29 10:02:59 | DEBUG    | NativePDF | Processing page 4...
2026-04-29 10:02:59 | DEBUG    | NativePDF | Processing page 5...
2026-04-29 10:02:59 | INFO     | NativePDF | Successfully extracted 184 text spans.
2026-04-29 10:02:59 | INFO     | NativePDF | Extracting embedded images from PDF...
2026-04-29 10:02:59 | INFO     | NativePDF | Extracted 9 images successfully.
2026-04-29 10:02:59 | INFO     | Segmenter | Starting segmentation for 184 elements.
2026-04-29 10:02:59 | DEBUG    | Segmenter | New block started at element 26 (Reason: Font=True, Gap=False, Style=False)
2026-04-29 10:02:59 | DEBUG    | Segmenter | New block started at element 39 (Reason: Font=False, Gap=True, Style=False)
2026-04-29 10:02:59 | DEBUG    | Segmenter | New block started at element 79 (Reason: Font=False, Gap=True, Style=False)
2026-04-29 10:02:59 | DEBUG    | Segmenter | Flushed the final block.
2026-04-29 10:02:59 | DEBUG    | Segmenter | Merging small block (28 chars) into next.
2026-04-29 10:02:59 | INFO     | Segmenter | Segmentation complete. Created 3 blocks (after merging).
2026-04-29 10:02:59 | INFO     | MainPipeline | Success! Ground Truth saved to: evaluation_results\5 עמודים\5 עמודים_ground_truth.txt
2026-04-29 10:05:15 | INFO     | MainPipeline | --- Processing Started: fail.pdf ---
2026-04-29 10:05:15 | INFO     | Router | Analyzing file extension: .pdf
2026-04-29 10:05:15 | INFO     | Router | Performing deep analysis on PDF...
2026-04-29 10:05:15 | INFO     | Router | Route identified: PDF (Native Text)
2026-04-29 10:05:15 | INFO     | NativePDF | Starting native extraction for: uploads\fail.pdf
2026-04-29 10:05:15 | DEBUG    | NativePDF | Processing page 1...
2026-04-29 10:05:15 | DEBUG    | NativePDF | Processing page 2...
2026-04-29 10:05:15 | DEBUG    | NativePDF | Processing page 3...
2026-04-29 10:05:15 | DEBUG    | NativePDF | Processing page 4...
2026-04-29 10:05:15 | DEBUG    | NativePDF | Processing page 5...
2026-04-29 10:05:15 | INFO     | NativePDF | Successfully extracted 729 text spans.
2026-04-29 10:05:15 | INFO     | NativePDF | Extracting embedded images from PDF...
2026-04-29 10:05:15 | INFO     | NativePDF | Extracted 5 images successfully.
2026-04-29 10:05:15 | INFO     | Segmenter | Starting segmentation for 729 elements.
2026-04-29 10:05:15 | DEBUG    | Segmenter | New block started at element 25 (Reason: Font=False, Gap=True, Style=False)
2026-04-29 10:05:15 | DEBUG    | Segmenter | New block started at element 153 (Reason: Font=True, Gap=False, Style=False)
2026-04-29 10:05:15 | DEBUG    | Segmenter | New block started at element 177 (Reason: Font=False, Gap=True, Style=False)
2026-04-29 10:05:15 | DEBUG    | Segmenter | New block started at element 274 (Reason: Font=True, Gap=False, Style=False)
2026-04-29 10:05:15 | DEBUG    | Segmenter | New block started at element 285 (Reason: Font=False, Gap=True, Style=False)
